###########################################################################################
# Best fitting anisotropy of the self-consistent JAM Models (A) presented in
# Cappellari et. al (2013a, MNRAS) http://adsabs.harvard.edu/abs/2013MNRAS.432.1709C
# "The Atlas3D project XV. Benchmark for early-type galaxies scaling relations from 260 
#  dynamical models: mass-to-light ratio, dark matter, Fundamental Plane and Mass Plane"
#
# Columns (2) and (5) below are copied from Table 1 of the above paper.
#
# The anisotropies given below were published in Figure 9b and 11 of 
# Cappellari (2016, ARA&A) http://adsabs.harvard.edu/abs/2016ARA%26A..54..597C
#
#                     ****VERY IMPORTANT***
#
# Due to the inclination-anisotropy degeneracy discussed in 
# Cappellari (2008, MNRAS) http://adsabs.harvard.edu/abs/2008MNRAS.390...71C, 
# and the effect of bars, the anisotropy below is only meanigful when the
# galaxies are close to edge-on and the quality of the fits is acceptable.
# For this reason, one should only use the anistropy for galaxies with
#
#             OK_anisotropy ---> (inc > 60) AND (quality > 0)
#
# The fitted anisotropy for the other galaxies is provided for completeness.
#
# For the good models, typical errors in anisotropy are around 0.05 (1sigma).
# But the errors are dominated by systematics, which are difficult to quantify.
#  
####################################################
#   Galaxy   |   inc  | beta_z |  kappa | quality  |
#            |  (deg) |        |        |          |
#     (1)    |   (2)  |   (3)  |   (4)  |    (5)   |
####################################################
      IC0560       73     0.00     1.02        2
      IC0598       75     0.27     0.98        2
      IC0676       49     0.00     0.85        0
      IC0719       77     0.00     0.36        3
      IC0782       67     0.00     1.17        1
      IC1024       88     0.40     0.96        2
      IC3631       70     0.28     0.52        0
     NGC0448       90     0.00     0.62        2
     NGC0474       51     0.00     0.88        1
     NGC0502       20     0.00     1.17        1
     NGC0509       90     0.25     1.04        0
     NGC0516       89     0.00     0.94        2
     NGC0524       20     0.00     0.99        0
     NGC0525       70     0.09     1.39        1
     NGC0661       87     0.80     0.24        1
     NGC0680       86     0.00     1.23        1
     NGC0770       88     0.22     0.59        0
     NGC0821       75     0.21     0.81        2
     NGC0936       37     0.00     1.24        2
     NGC1023       74     0.00     0.89        3
     NGC1121       82     0.00     1.03        2
     NGC1222       50     0.00     0.45        0
     NGC1248       42     0.37     1.18        2
     NGC1266       51     0.00     1.32        0
     NGC1289       89     0.14     0.33        1
     NGC1665       59     0.24     1.04        1
     NGC2481       81     0.22     1.00        2
     NGC2549       89     0.15     1.00        3
     NGC2577       70     0.00     1.10        3
     NGC2592       48     0.00     1.06        1
     NGC2594       90     0.18     0.71        1
     NGC2679       90     0.16     1.62        0
     NGC2685       76     0.00     0.98        3
     NGC2695       47     0.66     1.05        2
     NGC2698       73     0.20     1.03        3
     NGC2699       36     0.00     1.13        1
     NGC2764       69     0.19     0.87        2
     NGC2768       90     0.20     0.73        1
     NGC2778       41     0.45     1.09        2
     NGC2824       53     0.00     1.13        0
     NGC2852       39     0.00     0.98        1
     NGC2859       59     0.00     1.43        2
     NGC2880       51     0.00     1.04        1
     NGC2950       58     0.01     0.86        1
     NGC2962       74     0.00     0.88        1
     NGC2974       57     0.00     0.96        3
     NGC3032       38     0.00     0.91        0
     NGC3073       80     0.00     0.03        0
     NGC3098       90     0.00     0.91        0
     NGC3156       68     0.00     1.02        1
     NGC3182       80     0.00     1.03        0
     NGC3193       83     0.01     0.77        2
     NGC3226       57     0.07     0.94        2
     NGC3230       69     0.17     0.94        2
     NGC3245       64     0.00     1.00        3
     NGC3248       59     0.27     1.03        2
     NGC3301       76     0.00     0.96        3
     NGC3377       89     0.15     1.04        1
     NGC3379       88     0.05     0.99        3
     NGC3384       62     0.12     0.99        3
     NGC3400       58     0.00     0.96        2
     NGC3412       58     0.00     0.97        1
     NGC3414       87     0.22     0.25        1
     NGC3457       64     0.00     0.74        0
     NGC3458       52     0.00     1.06        2
     NGC3489       61     0.00     0.94        2
     NGC3499       26     0.02     0.91        0
     NGC3522       89     0.16     0.02        0
     NGC3530       90     0.05     0.90        0
     NGC3595       66     0.38     1.04        1
     NGC3599       26     0.00     3.19        0
     NGC3605       63     0.36     0.99        1
     NGC3607       46     0.21     0.62        2
     NGC3608       88     0.08     0.04        0
     NGC3610       90     0.00     0.98        3
     NGC3613       89     0.21     0.54        2
     NGC3619       42     0.00     0.98        1
     NGC3626       66     0.00     1.02        1
     NGC3630       83     0.00     0.98        3
     NGC3640       68     0.00     1.00        2
     NGC3641       26     0.00     0.67        0
     NGC3648       57     0.33     1.03        2
     NGC3658       42     0.11     1.24        3
     NGC3665       51     0.00     1.00        2
     NGC3674       76     0.06     0.75        2
     NGC3694       42     0.00     0.38        0
     NGC3757       50     0.07     0.40        0
     NGC3796       68     0.60     0.09        0
     NGC3838       79     0.10     1.01        2
     NGC3941       57     0.25     0.96        1
     NGC3945       46     0.00     1.19        1
     NGC3998       38     0.40     1.08        2
     NGC4026       84     0.05     0.95        2
     NGC4036       75     0.00     1.07        2
     NGC4078       90     0.19     0.80        1
