##########################################################################################################################################
# This table combines information from Table C1 of Krajnovic et al. (2013, MNRAS, 433, 2812) and Table 2 of Krajnovic et al. (2020, A&A)
# Information about the meaning of the columns follows Table C1 of Krajnovic et al. (2013). When using the information from the full table
# please refer to both papers. 
#
# Sources: a - Ferrarese et al. (2006), b1 - Lauer et al. (2005), b2 - Rest et al. (2001), b3 - Ravindranath et al. (2004), 
#          b4 - Quillen et al. (2000), c - Krajnovic et al. (2013) based on ACS archival imaging, 
#          d - Krajnovic et al. (2013) based on WFPC2/PC archival imaging, e - Krajnovic et al. (2020) based on WFC3 imaging.
#
# Note: negative values in columns 12 and 13 indicated upper limits (e.g. -0.10 --> <0.10)
#
# Table title: Fitting parameters for Atlas3D galaxies
##########################################################################################################################################
# Galaxy | Source | Class |  Filter |     Rb   |     mu   |   alpha  |    beta   |    gamma  |    gamma' |    RMS  |    Rgamma |  Rgamma |  
#        |        |       |         | (arcsec) |          |          |           |           |           |         |  (arcsec) |   (pc)  |
#    (1) |  (2)   |  (3)  |   (4)   |    (5)   |    (6)   |    (7)   |    (8)    |    (9)    |    (10)   |   (11)  |    (12)   |   (13)  | 
##########################################################################################################################################
    IC0560   -        -        -          -          -          -          -           -           -          -          -            -   
    IC0598   -        -        -          -          -          -          -           -           -          -          -            -   
    IC0676   -        -        -          -          -          -          -           -           -          -          -            -   
    IC0719   -        -        -          -          -          -          -           -           -          -          -            -   
    IC0782   -        -        -          -          -          -          -           -           -          -          -            -   
    IC1024   -        -        -          -          -          -          -           -           -          -          -            -   
    IC3631   -        -        -          -          -          -          -           -           -          -          -            -   
   NGC0448   -        -        -          -          -          -          -           -           -          -          -            -   
   NGC0474   c        2    F606W       1.83      14.46       1.20       1.97        0.36        0.40       0.02       0.26        38.64   
   NGC0502   -        -        -          -          -          -          -           -           -          -          -            -   
   NGC0509   -        -        -          -          -          -          -           -           -          -          -            -   
   NGC0516   -        -        -          -          -          -          -           -           -          -          -            -   
   NGC0524   d        1    F555W       0.37      17.00       5.00       1.47        0.24        0.24       0.02       0.28        32.12   
   NGC0525   -        -        -          -          -          -          -           -           -          -          -            -   
   NGC0661   e        3    F814W       0.06      13.04       5.00       1.03        0.06        0.96       0.02      -0.10       -14.84   
   NGC0680   -        -        -          -          -          -          -           -           -          -          -            -   
   NGC0770   -        -        -          -          -          -          -           -           -          -          -            -   
   NGC0821  b1        3        -       0.48      15.69       0.40       1.71        0.10        0.51          -       0.03         3.42   
   NGC0936   d        3    F555W      33.64      24.00       0.70       5.88        0.43        0.52       0.04       0.07         7.39   
   NGC1023  b1        3        -       1.23      15.71       7.20       1.15        0.74        0.74          -       0.04         2.15   
   NGC1121   -        -        -          -          -          -          -           -           -          -          -            -   
   NGC1222   -        -        -          -          -          -          -           -           -          -          -            -   
   NGC1248   -        -        -          -          -          -          -           -           -          -          -            -   
   NGC1266   -        -        -          -          -          -          -           -           -          -          -            -   
   NGC1289   e        3    F814W       2.00      17.19       0.20       4.11       -1.15        0.71       0.03      -0.10       -18.62   
   NGC1665   -        -        -          -          -          -          -           -           -          -          -            -   
   NGC2481   -        -        -          -          -          -          -           -           -          -          -            -   
   NGC2549  b2        3        -       3.70      17.57       1.80       1.71        0.67        0.67          -      -0.10        -5.96   
   NGC2577   -        -        -          -          -          -          -           -           -          -          -            -   
   NGC2592   d        2    F702W      35.43      24.00       0.36       6.62       -0.38        0.38       0.03       0.16        19.64   
   NGC2594   -        -        -          -          -          -          -           -           -          -          -            -   
