###########################################################################
# This is Table B1 from Krajnovic et al. 2020, A&A, 
# "Formation channels of slowly rotating early-type galaxies"
############################################################################
# Table Title: Metalicity and Age gradients of the ATLAS3D Sample
#
# Note: Columns (6) and (7), providing the alpha elements gradients and errors
# do not appear in the paper.
#
# Note: galaxies NGC4268 and PGC170172 do not have measured values. 
#
#Galaxy     D[Z/H]   er_D[Z/H]   DAge     er_DAge    Dalpha  er_Dalpah  HST
# (1)         (2)      (3)       (4)       (5)        (6)      (7)      (8)
############################################################################
IC0560      -0.454     0.068     0.411     0.054     0.269     0.074     0   
IC0598      -0.278     0.081     0.371     0.061     0.075     0.030     0   
IC0676       0.187     0.085     0.221     0.115    -0.326     0.052     0   
IC0719      -0.560     0.050    -0.080     0.106     0.188     0.048     0   
IC0782      -0.234     0.066     0.222     0.059    -0.190     0.032     0   
IC1024       0.151     0.052     0.099     0.037    -0.133     0.042     0   
IC3631      -0.519     0.071     0.744     0.128     0.355     0.054     0   
NGC0448     -0.403     0.040    -0.058     0.053    -0.131     0.038     0   
NGC0474     -0.257     0.041    -0.295     0.061    -0.124     0.052     1   
NGC0502     -0.305     0.059    -0.030     0.076     0.019     0.020     0   
NGC0509     -0.488     0.073     0.781     0.067     0.121     0.048     0   
NGC0516     -0.141     0.125    -0.169     0.164     0.255     0.045     0   
NGC0524      0.042     0.033    -0.264     0.033    -0.063     0.026     1   
NGC0525     -0.287     0.102     0.097     0.164    -0.204     0.057     0   
NGC0661     -0.330     0.062     0.020     0.075     0.140     0.017     1   
NGC0680     -0.320     0.019    -0.193     0.028     0.147     0.037     0   
NGC0770     -0.361     0.043     0.191     0.073     0.035     0.028     0   
NGC0821     -0.359     0.032    -0.073     0.020     0.058     0.031     1   
NGC0936     -0.173     0.021     0.056     0.021    -0.022     0.036     1   
NGC1023     -0.174     0.011    -0.025     0.011     0.121     0.007     1   
NGC1121     -0.504     0.017     0.032     0.011     0.191     0.036     0   
NGC1222      0.129     0.059     0.617     0.093     0.049     0.030     1   
NGC1248     -0.352     0.047     0.216     0.073    -0.084     0.029     0   
NGC1266     -0.107     0.102     0.235     0.056     0.018     0.030     0   
NGC1289     -0.398     0.072     0.026     0.068    -0.241     0.042     1   
NGC1665     -0.210     0.055     0.165     0.061     0.034     0.018     0   
NGC2481     -0.409     0.041     0.172     0.050    -0.079     0.020     0   
NGC2549     -0.348     0.021     0.131     0.039     0.019     0.015     1   
NGC2577     -0.487     0.026     0.173     0.032     0.237     0.009     0   
NGC2592     -0.378     0.041     0.074     0.025     0.103     0.033     1   
NGC2594     -0.749     0.067     0.195     0.080     0.187     0.032     0   
NGC2679     -0.687     0.070     0.693     0.060     0.165     0.028     0   
NGC2685     -0.310     0.017     0.008     0.026     0.067     0.024     1   
NGC2695     -0.256     0.034     0.012     0.014     0.112     0.031     0   
NGC2698     -0.633     0.045     0.254     0.025     0.124     0.022     0   
NGC2699     -0.459     0.012     0.121     0.026     0.196     0.012     1   
NGC2764      0.013     0.049     0.002     0.058    -0.095     0.040     0   
NGC2768     -0.305     0.015     0.248     0.021     0.034     0.034     1   
NGC2778     -0.599     0.024     0.200     0.067     0.193     0.025     1   
NGC2824     -0.278     0.050     0.376     0.080     0.098     0.034     1   
NGC2852     -0.737     0.052     0.037     0.077     0.226     0.050     0   
NGC2859     -0.258     0.023     0.195     0.028    -0.002     0.016     1   
NGC2880     -0.410     0.033     0.272     0.039    -0.050     0.018     1   
NGC2950     -0.450     0.035     0.196     0.051     0.119     0.016     1   
NGC2962     -0.373     0.033     0.034     0.041     0.056     0.051     1   
NGC2974     -0.156     0.027     0.045     0.034    -0.101     0.013     1   
NGC3032      0.455     0.247     0.053     0.060     0.457     0.032     1   
NGC3073     -0.505     0.078     0.580     0.103     0.412     0.059     1   
NGC3098     -0.258     0.035     0.276     0.035     0.051     0.024     0   
NGC3156     -0.332     0.077     0.632     0.041     0.045     0.012     1   
NGC3182     -0.351     0.067     0.193     0.207     0.123     0.058     0   
NGC3193     -0.651     0.026     0.407     0.033     0.065     0.028     1   
NGC3226     -0.370     0.028    -0.006     0.037     0.092     0.040     1   
NGC3230     -0.305     0.057     0.077     0.046     0.108     0.028     0   
NGC3245     -0.527     0.034     0.387     0.038     0.024     0.020     1   
NGC3248     -0.480     0.041     0.480     0.041     0.188     0.034     0   
NGC3301     -0.512     0.051     0.602     0.032     0.099     0.019     0   
NGC3377     -0.357     0.026    -0.073     0.030    -0.050     0.026     1   
NGC3379     -0.157     0.035    -0.224     0.077     0.028     0.022     1   
NGC3384     -0.325     0.030     0.058     0.046     0.046     0.009     1   
NGC3400     -0.421     0.072     0.276     0.041     0.091     0.045     0   
NGC3412     -0.383     0.040     0.234     0.034     0.041     0.018     1   
NGC3414     -0.437     0.035    -0.019     0.030    -0.106     0.039     1   
NGC3457     -0.692     0.073     0.526     0.061     0.218     0.018     0   
NGC3458     -0.451     0.044     0.052     0.043    -0.030     0.014     1   
NGC3489     -0.326     0.018     0.109     0.018     0.029     0.009     1   
NGC3499     -0.898     0.092     0.807     0.121     0.415     0.027     0   
NGC3522     -0.655     0.043     0.223     0.041     0.053     0.046     1   
NGC3530     -0.464     0.066     0.204     0.097     0.037     0.052     0   
NGC3595     -0.451     0.038     0.293     0.075     0.171     0.038     1   
NGC3599     -0.797     0.075     0.922     0.039     0.128     0.028     1   
NGC3605     -0.487     0.034     0.123     0.055     0.106     0.021     1   
NGC3607     -0.365     0.026     0.180     0.048     0.046     0.025     1   
NGC3608     -0.230     0.033    -0.248     0.033     0.010     0.028     1   
NGC3610     -0.548     0.024     0.318     0.025     0.067     0.015     1   
NGC3613     -0.405     0.029     0.316     0.033     0.103     0.021     1   
NGC3619     -0.495     0.027     0.283     0.054    -0.003     0.037     0   
NGC3626     -0.684     0.024     0.331     0.062     0.060     0.023     0   
NGC3630     -0.474     0.038     0.143     0.028     0.271     0.021     0   
NGC3640     -0.227     0.025    -0.001     0.031    -0.040     0.038     1   
NGC3641     -0.803     0.082    -0.068     0.051     0.358     0.022     0   
NGC3648     -0.506     0.049     0.207     0.064     0.224     0.020     0   
NGC3658     -0.364     0.061     0.016     0.077     0.231     0.019     0   
NGC3665     -0.408     0.019     0.368     0.042    -0.095     0.031     0   
NGC3674     -0.394     0.037     0.076     0.040     0.054     0.020     0   
NGC3694      0.104     0.114     0.549     0.108    -0.203     0.035     0   
