#####################################################################
# This is Table 4 from the paper McDermid et. al (2015)
# "The Atlas3D project -- XXX.  Star formation histories and stellar 
#  population scaling relations of early-type galaxies 
#
# Table title: Mass-weighted stellar population properties
#              measured within Re
#
# Column descriptions:
#  (1) Galaxy name.
#  (2) Mass-weighted age.
#  (3) Mass-weighted metallicity.
#  (4) Half-mass formation time.
#
#####################################################################
#   Name    |     Age_SHF     |     [Z/H]_SFH    |       t50        |
#           |       Gyr       |                  |       Gyr        |
#   (1)     |       (2)       |        (3)       |       (4)        |
#####################################################################
    IC0560     6.73 +/- 1.07     -0.46 +/- 0.06      6.55 +/- 1.07
    IC0598     5.37 +/- 0.99     -0.40 +/- 0.05      8.60 +/- 0.99
    IC0676     6.00 +/- 1.92     -0.55 +/- 0.18      7.22 +/- 1.92
    IC0719     9.21 +/- 0.86     -0.25 +/- 0.08      4.23 +/- 0.86
    IC0782     6.16 +/- 0.83     -0.19 +/- 0.11      7.09 +/- 0.83
    IC1024     4.39 +/- 0.63     -0.77 +/- 0.15      8.65 +/- 0.63
    IC3631     5.00 +/- 1.97     -0.84 +/- 0.12      8.14 +/- 1.97
   NGC0448    10.50 +/- 0.62     -0.24 +/- 0.02      3.60 +/- 0.62
   NGC0474    10.69 +/- 0.70     -0.16 +/- 0.02      3.09 +/- 0.70
   NGC0502    11.77 +/- 0.67     -0.14 +/- 0.02      2.21 +/- 0.67
   NGC0509     5.93 +/- 1.03     -0.55 +/- 0.10      7.28 +/- 1.03
   NGC0516     8.81 +/- 0.75     -0.41 +/- 0.05      4.70 +/- 0.75
   NGC0524    13.07 +/- 0.70      0.04 +/- 0.02      1.14 +/- 0.70
   NGC0525     8.55 +/- 0.80     -0.21 +/- 0.04      4.95 +/- 0.80
   NGC0661    11.64 +/- 0.79     -0.14 +/- 0.02      2.33 +/- 0.79
   NGC0680    12.53 +/- 0.69     -0.15 +/- 0.02      1.59 +/- 0.69
   NGC0770    12.41 +/- 0.69     -0.35 +/- 0.01      1.73 +/- 0.69
   NGC0821    12.88 +/- 0.75     -0.11 +/- 0.02      1.27 +/- 0.75
   NGC0936    13.71 +/- 0.74     -0.09 +/- 0.02      0.70 +/- 0.74
