target_name,califaid,raj2000,dej2000,redshift,sdss_z,maj_axis,mstar,mstar_min,mstar_max,chi2,vmax_nocorr,vmax_denscorr,magu,err_magu,u_ext,abs_u_min,abs_u_max,magg,err_magg,g_ext,abs_g_min,abs_g_max,magr,err_magr,r_ext,abs_r_min,abs_r_max,magi,err_magi,i_ext,abs_i_min,abs_i_max,magz,err_magz,z_ext,abs_z_min,abs_z_max,hubtyp,minhubtyp,maxhubtyp,bar,flag_release_comb,flag_release_v1200,flag_release_v500,axis_ratio,position_angle,el_hlr,modmag_r
IC5376,1,0.3324100077152252,34.52566909790039,0.0166,0.0168,66.56,10.655,10.563,10.75,1.2479,886000.0,604000.0,15.896,15.896,,-18.913,-18.779,14.20036,14.20036,,-20.388,-20.344,13.39081,13.39081,,-21.096,-21.056,12.90876,12.90876,,-21.522,-21.473,12.64841,12.64841,,-21.887,-21.792,S b,S a,S d,A,1,1,1,0.26734,183.94391,16.632,
UGC00005,2,0.7735099792480469,-1.913830041885376,0.0238,0.0243,48.34,10.831,10.73,10.935,0.16073,1010000.0,1200000.0,15.12597,15.12597,,-20.257,-20.129,13.74425,13.74425,,-21.527,-21.481,13.07575,13.07575,,-22.088,-22.053,12.71217,12.71217,,-22.452,-22.401,12.46343,12.46343,,-22.77,-22.68,S bc,S ab,S c,A (A .. B),1,1,1,0.54389,235.44568,16.632,
NGC7819,3,1.1021100282669067,31.472009658813477,0.0164,0.0167,52.94,10.389,10.225,10.402,5.3685,429000.0,292000.0,14.32955,14.32955,,-20.174,-19.895,13.85895,13.85895,,-20.692,-20.658,13.29416,13.29416,,-21.058,-21.031,13.01891,13.01891,,-21.317,-21.289,12.71685,12.71685,,-21.636,-21.515,S c,S bc,S c,A (A .. B),1,1,1,0.52947,86.83136,23.76,
CGCG536-030,2052,20.288270950317383,40.47079849243164,0.0199,0.0,24.21816,9.6528,9.5534,9.7567,2.0661,,,16.14054,16.14054,0.26986,-18.901,-18.771,15.0415,15.0415,0.19856,-19.865,-19.812,14.61322,14.61322,0.14401,-20.14,-20.119,14.38879,14.38879,0.1092,-20.385,-20.335,14.30013,14.30013,0.07742,-20.623,-20.542,S dm,S cd,S r,AB (A .. B),1,1,1,0.62,27.75,7.06616,14.6125
IC1528,5,1.2724000215530396,-7.093389987945557,0.0125,0.0128,63.63,10.144,10.039,10.255,1.9891,339000.0,206000.0,14.34303,14.34303,,-19.524,-19.389,13.28775,13.28775,,-20.569,-20.517,12.7676,12.7676,,-20.95,-20.924,12.49311,12.49311,,-21.239,-21.192,12.36362,12.36362,,-21.505,-21.424,S bc,S ab,S d,AB (A .. B),1,1,1,0.36337,72.41671,23.76,
NGC7824,6,1.2759900093078613,6.920149803161621,0.0201,0.0204,55.16,11.246,11.152,11.333,0.54405,900000.0,761000.0,15.25076,15.25076,,-19.91,-19.779,13.42398,13.42398,,-21.492,-21.447,12.5497,12.5497,,-22.263,-22.219,12.12064,12.12064,,-22.723,-22.672,11.76982,11.76982,,-23.118,-23.022,S ab,S a,S ab,A (A .. B),0,0,1,0.74783,159.67441,11.88,
UGC00036,7,1.3078399896621704,6.772029876708984,0.0206,0.0209,50.98,11.002,10.9,11.113,0.0094818,759000.0,723000.0,15.68935,15.68935,,-19.436,-19.303,14.0737,14.0737,,-20.946,-20.9,13.20888,13.20888,,-21.693,-21.654,12.72804,12.72804,,-22.156,-22.101,12.34977,12.34977,,-22.559,-22.448,S ab,S a,S bc,AB (A .. B),1,1,1,0.6002,9.35455,10.296,
NGC0001,8,1.8160799741744995,27.708080291748047,0.015,0.0151,51.98,10.8,10.688,10.909,0.22806,304000.0,203000.0,14.72749,14.72749,,-19.773,-19.574,13.25316,13.25316,,-21.113,-21.041,12.50549,12.50549,,-21.731,-21.683,12.04097,12.04097,,-22.129,-22.067,11.76878,11.76878,,-22.475,-22.37,S bc,S b,S c,A,1,1,1,0.80404,107.71639,12.672,
NGC0023,9,2.4726099967956543,25.923830032348633,0.015,0.0152,59.28,11.04,10.944,11.138,0.51221,462000.0,309000.0,13.81531,13.81531,,-20.533,-20.4,12.39904,12.39904,,-21.859,-21.815,11.6719,11.6719,,-22.47,-22.434,11.30142,11.30142,,-22.848,-22.801,11.07349,11.07349,,-23.17,-23.088,S b,S ab,S cd,B (AB .. B),1,1,1,0.42238,155.53825,17.424,
NGC0036,10,2.842910051345825,6.389349937438965,0.0197,0.0203,59.72,10.896,10.791,10.996,5.4538,1130000.0,923000.0,14.70021,14.70021,,-20.479,-20.349,13.14466,13.14466,,-21.778,-21.721,12.5306,12.5306,,-22.325,-22.291,12.0529,12.0529,,-22.686,-22.632,11.97941,11.97941,,-22.993,-22.905,S b,S a,S bc,B (A .. B),1,1,1,0.65414,76.81784,21.78,
