id,ra,dec,survey,filename,exptime,manga_id,manga_plateifu,sami_catid,sami_cubeidpub,califa_id,califa_name,califa_cube,atlas_name,fov_fits
1,323.5212097167969,10.421855926513672,manga,manga-7975-12702-LOGCUBE,13501.2001953125,1-114129,7975-12702,,,,,,,"{{323.526435,10.416717},{323.526435,10.426995},{323.515985,10.426995},{323.515985,10.416717}}"
2,323.29632568359375,10.644204139709473,manga,manga-7975-3702-LOGCUBE,13501.2001953125,1-114171,7975-3702,,,,,,,"{{323.299439,10.641148},{323.299439,10.647260},{323.293221,10.647260},{323.293221,10.641148}}"
3,324.25970458984375,11.906203269958496,manga,manga-7975-1902-LOGCUBE,13501.2001953125,1-114334,7975-1902,,,,,,,"{{324.262123,11.903842},{324.262123,11.908564},{324.257297,11.908564},{324.257297,11.903842}}"
4,323.57708740234375,11.214323997497559,manga,manga-7975-6102-LOGCUBE,13501.2001953125,1-114145,7975-6102,,,,,,,"{{323.580913,11.210574},{323.580913,11.218074},{323.573267,11.218074},{323.573267,11.210574}}"
5,323.74273681640625,11.296527862548828,manga,manga-7975-9101-LOGCUBE,13501.2001953125,1-114306,7975-9101,,,,,,,"{{323.747282,11.292084},{323.747282,11.300972},{323.738218,11.300972},{323.738218,11.292084}}"
6,323.4706115722656,10.439735412597656,manga,manga-7975-6101-LOGCUBE,13501.2001953125,1-114128,7975-6101,,,,,,,"{{323.474413,10.435985},{323.474413,10.443485},{323.466787,10.443485},{323.466787,10.435985}}"
7,324.15252685546875,10.506732940673828,manga,manga-7975-3701-LOGCUBE,13501.2001953125,1-114082,7975-3701,,,,,,,"{{324.155638,10.503677},{324.155638,10.509789},{324.149422,10.509789},{324.149422,10.503677}}"
8,324.094970703125,12.23630428314209,manga,manga-7975-12703-LOGCUBE,13501.2001953125,1-114325,7975-12703,,,,,,,"{{324.100218,12.231165},{324.100218,12.241443},{324.089702,12.241443},{324.089702,12.231165}}"
9,323.4664001464844,10.071852684020996,manga,manga-7975-12701-LOGCUBE,13501.2001953125,1-114121,7975-12701,,,,,,,"{{323.471750,10.066575},{323.471750,10.077131},{323.461030,10.077131},{323.461030,10.066575}}"
10,324.5486755371094,12.194257736206055,manga,manga-7975-9102-LOGCUBE,13501.2001953125,1-114500,7975-9102,,,,,,,"{{324.553227,12.189814},{324.553227,12.198702},{324.544133,12.198702},{324.544133,12.189814}}"
11,324.8915710449219,10.483481407165527,manga,manga-7975-6104-LOGCUBE,13501.2001953125,1-114465,7975-6104,,,,,,,"{{324.895374,10.479731},{324.895374,10.487231},{324.887746,10.487231},{324.887746,10.479731}}"
12,324.79931640625,11.939322471618652,manga,manga-7975-6103-LOGCUBE,13501.2001953125,1-114502,7975-6103,,,,,,,"{{324.803153,11.935572},{324.803153,11.943072},{324.795487,11.943072},{324.795487,11.935572}}"
13,324.58642578125,11.348672866821289,manga,manga-7975-12704-LOGCUBE,13501.2001953125,1-114454,7975-12704,,,,,,,"{{324.591661,11.343534},{324.591661,11.353812},{324.581179,11.353812},{324.581179,11.343534}}"
14,324.89593505859375,11.204962730407715,manga,manga-7975-12705-LOGCUBE,13501.2001953125,1-114073,7975-12705,,,,,,,"{{324.901159,11.199824},{324.901159,11.210102},{324.890681,11.210102},{324.890681,11.199824}}"
15,324.8336486816406,10.540766716003418,manga,manga-7975-3704-LOGCUBE,13501.2001953125,1-550578,7975-3704,,,,,,,"{{324.836758,10.537711},{324.836758,10.543823},{324.830542,10.543823},{324.830542,10.537711}}"
16,325.1613464355469,11.722743034362793,manga,manga-7975-3703-LOGCUBE,13501.2001953125,1-114532,7975-3703,,,,,,,"{{325.164471,11.719687},{325.164471,11.725799},{325.158229,11.725799},{325.158229,11.719687}}"
17,323.6576843261719,11.421810150146484,manga,manga-7975-1901-LOGCUBE,13501.2001953125,1-114303,7975-1901,,,,,,,"{{323.660089,11.419449},{323.660089,11.424171},{323.655271,11.424171},{323.655271,11.419449}}"
18,151.1912841796875,44.705780029296875,manga,manga-8456-12701-LOGCUBE,8100.75,1-167167,8456-12701,,,,,,,"{{151.198520,44.700641},{151.198521,44.710919},{151.184059,44.710919},{151.184060,44.700641}}"
19,152.45855712890625,45.85091018676758,manga,manga-8456-6104-LOGCUBE,8100.75,1-167356,8456-6104,,,,,,,"{{152.463933,45.847161},{152.463934,45.854661},{152.453166,45.854661},{152.453167,45.847161}}"
20,151.8291015625,46.54643630981445,manga,manga-8456-12703-LOGCUBE,8100.75,1-147485,8456-12703,,,,,,,"{{151.836773,46.541159},{151.836775,46.551715},{151.821425,46.551715},{151.821427,46.541159}}"
21,149.0250701904297,46.1524772644043,manga,manga-8456-3702-LOGCUBE,8100.75,1-545611,8456-3702,,,,,,,"{{149.029481,46.149423},{149.029481,46.155534},{149.020659,46.155534},{149.020659,46.149423}}"
22,151.22091674804688,44.63612365722656,manga,manga-8456-6101-LOGCUBE,8100.75,1-167166,8456-6101,,,,,,,"{{151.226180,44.632373},{151.226180,44.639873},{151.215640,44.639873},{151.215640,44.632373}}"
23,149.96826171875,45.28309631347656,manga,manga-8456-12702-LOGCUBE,8100.75,1-167148,8456-12702,,,,,,,"{{149.975563,45.277957},{149.975564,45.288235},{149.960956,45.288235},{149.960957,45.277957}}"
24,150.22840881347656,44.764793395996094,manga,manga-8456-3704-LOGCUBE,8100.75,1-167141,8456-3704,,,,,,,"{{150.232713,44.761737},{150.232714,44.767848},{150.224106,44.767848},{150.224107,44.761737}}"
25,151.89483642578125,46.0939826965332,manga,manga-8456-1902-LOGCUBE,8100.75,1-167334,8456-1902,,,,,,,"{{151.898245,46.091621},{151.898245,46.096343},{151.891435,46.096343},{151.891435,46.091621}}"
26,149.41380310058594,44.89741516113281,manga,manga-8456-3701-LOGCUBE,8100.75,1-585869,8456-3701,,,,,,,"{{149.418123,44.894359},{149.418124,44.900470},{149.409496,44.900470},{149.409497,44.894359}}"
27,151.28414916992188,45.977970123291016,manga,manga-8456-6102-LOGCUBE,8100.75,1-167336,8456-6102,,,,,,,"{{151.289546,45.974222},{151.289547,45.981722},{151.278753,45.981722},{151.278754,45.974222}}"
28,151.965576171875,45.60731506347656,manga,manga-8456-9101-LOGCUBE,8100.75,1-167360,8456-9101,,,,,,,"{{151.971933,45.602871},{151.971934,45.611760},{151.959226,45.611760},{151.959227,45.602871}}"
29,151.2339630126953,46.72373580932617,manga,manga-8456-9102-LOGCUBE,8100.75,1-147546,8456-9102,,,,,,,"{{151.240443,46.719291},{151.240444,46.728180},{151.227476,46.728180},{151.227477,46.719291}}"
30,152.13006591796875,46.051551818847656,manga,manga-8456-6103-LOGCUBE,8100.75,1-167342,8456-6103,,,,,,,"{{152.135673,46.047661},{152.135674,46.055439},{152.124466,46.055439},{152.124467,46.047661}}"
31,151.28465270996094,44.51404571533203,manga,manga-8456-12705-LOGCUBE,8100.75,1-167169,8456-12705,,,,,,,"{{151.291866,44.508908},{151.291867,44.519186},{151.277453,44.519186},{151.277454,44.508908}}"
32,151.31129455566406,46.75291442871094,manga,manga-8456-3703-LOGCUBE,8100.75,1-147548,8456-3703,,,,,,,"{{151.315759,46.749859},{151.315760,46.755970},{151.306840,46.755970},{151.306841,46.749859}}"
33,150.84288024902344,45.76353454589844,manga,manga-8456-12704-LOGCUBE,8100.75,1-167337,8456-12704,,,,,,,"{{150.850246,45.758397},{150.850247,45.768675},{150.835513,45.768675},{150.835514,45.758397}}"
34,151.21678161621094,46.69001770019531,manga,manga-8456-1901-LOGCUBE,8100.75,1-147547,8456-1901,,,,,,,"{{151.220222,46.687656},{151.220222,46.692378},{151.213338,46.692378},{151.213338,46.687656}}"
35,172.7870330810547,23.057180404663086,manga,manga-8338-3703-LOGCUBE,8100.89013671875,1-492536,8338-3703,,,,,,,"{{172.790200,23.054263},{172.790200,23.060097},{172.783860,23.060097},{172.783860,23.054263}}"
36,172.2469024658203,22.95990562438965,manga,manga-8338-3701-LOGCUBE,8100.89013671875,1-491200,8338-3701,,,,,,,"{{172.250228,22.956850},{172.250229,22.962962},{172.243591,22.962962},{172.243592,22.956850}}"
37,173.4814453125,23.643754959106445,manga,manga-8338-1902-LOGCUBE,8100.89013671875,1-588894,8338-1902,,,,,,,"{{173.484017,23.641394},{173.484018,23.646116},{173.478862,23.646116},{173.478863,23.641394}}"
38,173.08645629882812,22.63016128540039,manga,manga-8338-6101-LOGCUBE,8100.89013671875,1-574691,8338-6101,,,,,,,"{{173.090362,22.626550},{173.090362,22.633772},{173.082538,22.633772},{173.082538,22.626550}}"
39,172.5124969482422,23.463632583618164,manga,manga-8338-6103-LOGCUBE,8100.89013671875,1-489932,8338-6103,,,,,,,"{{172.516588,23.459883},{172.516588,23.467383},{172.508412,23.467383},{172.508412,23.459883}}"
40,171.25149536132812,22.514179229736328,manga,manga-8338-9102-LOGCUBE,8100.89013671875,1-489884,8338-9102,,,,,,,"{{171.256301,22.509735},{171.256301,22.518624},{171.246679,22.518624},{171.246679,22.509735}}"
41,172.0511932373047,21.996843338012695,manga,manga-8338-12701-LOGCUBE,8100.89013671875,1-614850,8338-12701,,,,,,,"{{172.056732,21.991704},{172.056733,22.001982},{172.045647,22.001982},{172.045648,21.991704}}"
42,171.96641540527344,21.409204483032227,manga,manga-8338-9101-LOGCUBE,8100.89013671875,1-491095,8338-9101,,,,,,,"{{171.971194,21.404760},{171.971194,21.413649},{171.961646,21.413649},{171.961646,21.404760}}"
43,172.3516845703125,22.400358200073242,manga,manga-8338-12704-LOGCUBE,8100.89013671875,1-491218,8338-12704,,,,,,,"{{172.357238,22.395220},{172.357239,22.405498},{172.346121,22.405498},{172.346122,22.395220}}"
44,172.83352661132812,21.424678802490234,manga,manga-8338-12705-LOGCUBE,8100.89013671875,1-491045,8338-12705,,,,,,,"{{172.839050,21.419539},{172.839051,21.429817},{172.828009,21.429817},{172.828010,21.419539}}"
45,171.18792724609375,22.871936798095703,manga,manga-8338-3702-LOGCUBE,8100.89013671875,1-491140,8338-3702,,,,,,,"{{171.191246,22.868880},{171.191246,22.874992},{171.184614,22.874992},{171.184614,22.868880}}"
46,172.16444396972656,23.670900344848633,manga,manga-8338-1901-LOGCUBE,8100.89013671875,1-491441,8338-1901,,,,,,,"{{172.167028,23.668540},{172.167028,23.673262},{172.161872,23.673262},{172.161872,23.668540}}"
47,172.02333068847656,23.429241180419922,manga,manga-8338-12703-LOGCUBE,8100.89013671875,1-489927,8338-12703,,,,,,,"{{172.028930,23.424102},{172.028931,23.434380},{172.017729,23.434380},{172.017730,23.424102}}"
48,172.6826629638672,22.36353874206543,manga,manga-8338-6102-LOGCUBE,8100.89013671875,1-491225,8338-6102,,,,,,,"{{172.686725,22.359789},{172.686725,22.367289},{172.678615,22.367289},{172.678615,22.359789}}"
49,173.76609802246094,22.515165328979492,manga,manga-8338-6104-LOGCUBE,8100.89013671875,1-492617,8338-6104,,,,,,,"{{173.770159,22.511415},{173.770160,22.518915},{173.762040,22.518915},{173.762041,22.511415}}"
50,172.57342529296875,22.213022232055664,manga,manga-8338-12702-LOGCUBE,8100.89013671875,1-492564,8338-12702,,,,,,,"{{172.578971,22.207883},{172.578971,22.218161},{172.567869,22.218161},{172.567869,22.207883}}"
51,172.56399536132812,22.99201011657715,manga,manga-8338-3704-LOGCUBE,8100.89013671875,1-491233,8338-3704,,,,,,,"{{172.567158,22.989093},{172.567158,22.994927},{172.560822,22.994927},{172.560822,22.989093}}"
52,256.21209716796875,34.81560134887695,manga,manga-9185-9101-LOGCUBE,8100.66015625,1-634515,9185-9101,,,,,,,"{{256.217503,34.811157},{256.217504,34.820046},{256.206676,34.820046},{256.206677,34.811157}}"
53,256.1795959472656,34.55851745605469,manga,manga-9185-12701-LOGCUBE,8100.66015625,1-177231,9185-12701,,,,,,,"{{256.185850,34.553380},{256.185850,34.563658},{256.173370,34.563658},{256.173370,34.553380}}"
54,257.4811706542969,34.30438995361328,manga,manga-9185-12704-LOGCUBE,8100.66015625,1-177308,9185-12704,,,,,,,"{{257.487401,34.299251},{257.487401,34.309529},{257.474959,34.309529},{257.474959,34.299251}}"
55,256.0483703613281,33.46071243286133,manga,manga-9185-3701-LOGCUBE,8100.66015625,1-177104,9185-3701,,,,,,,"{{256.052042,33.457655},{256.052043,33.463767},{256.044717,33.463767},{256.044718,33.457655}}"
56,257.4097900390625,34.43132400512695,manga,manga-9185-12703-LOGCUBE,8100.66015625,1-634624,9185-12703,,,,,,,"{{257.416010,34.426184},{257.416011,34.436462},{257.403549,34.436462},{257.403550,34.426184}}"
57,257.5668640136719,33.751853942871094,manga,manga-9185-6102-LOGCUBE,8100.66015625,1-176960,9185-6102,,,,,,,"{{257.571360,33.748105},{257.571360,33.755605},{257.562340,33.755605},{257.562340,33.748105}}"
58,258.58245849609375,33.548885345458984,manga,manga-9185-12705-LOGCUBE,8100.66015625,1-547339,9185-12705,,,,,,,"{{258.588626,33.543746},{258.588626,33.554024},{258.576294,33.554024},{258.576294,33.543746}}"
59,257.9272766113281,34.2122802734375,manga,manga-9185-6103-LOGCUBE,8100.66015625,1-546965,9185-6103,,,,,,,"{{257.931814,34.208531},{257.931815,34.216031},{257.922745,34.216031},{257.922746,34.208531}}"
60,258.5921630859375,34.6612434387207,manga,manga-9185-9102-LOGCUBE,8100.66015625,1-547375,9185-9102,,,,,,,"{{258.597573,34.656800},{258.597574,34.665689},{258.586766,34.665689},{258.586767,34.656800}}"
61,256.39892578125,34.74641799926758,manga,manga-9185-1901-LOGCUBE,8100.66015625,1-177236,9185-1901,,,,,,,"{{256.401803,34.744057},{256.401804,34.748779},{256.396056,34.748779},{256.396057,34.744057}}"
62,256.8400573730469,33.970584869384766,manga,manga-9185-3703-LOGCUBE,8100.66015625,1-177049,9185-3703,,,,,,,"{{256.843734,33.967530},{256.843735,33.973642},{256.836365,33.973642},{256.836366,33.967530}}"
63,257.3144226074219,33.686431884765625,manga,manga-9185-1902-LOGCUBE,8100.66015625,1-176983,9185-1902,,,,,,,"{{257.317258,33.684071},{257.317258,33.688793},{257.311582,33.688793},{257.311582,33.684071}}"
64,257.49139404296875,34.37015151977539,manga,manga-9185-6101-LOGCUBE,8100.66015625,1-561034,9185-6101,,,,,,,"{{257.495923,34.366403},{257.495923,34.373903},{257.486837,34.373903},{257.486837,34.366403}}"
65,257.53289794921875,32.294166564941406,manga,manga-9185-3704-LOGCUBE,8100.66015625,1-561017,9185-3704,,,,,,,"{{257.536515,32.291110},{257.536515,32.297222},{257.529285,32.297222},{257.529285,32.291110}}"
66,256.6640625,34.54300308227539,manga,manga-9185-3702-LOGCUBE,8100.66015625,1-177250,9185-3702,,,,,,,"{{256.667759,34.539946},{256.667760,34.546058},{256.660340,34.546058},{256.660341,34.539946}}"
