,catid,ra_star,dec_star,r,priority
0,888592839849,13.8926092039391,-1.05410219370861,17.0062408,8
1,888113978372,13.664373011911,-0.982374315349737,17.2467403,8
2,888129907210,14.2318172348535,-0.811174558850733,16.2433701,7
3,888135399466,14.5163962904297,-1.4409396185166,15.8161297,7
4,888922228780,18.4733377539904,0.75992419090277,17.2878895,8
5,888922228776,18.4319723182828,0.820635112794078,15.7681198,8
6,888742420648,18.6815417558805,0.562418267153503,16.8055,8
7,888279356938,18.7324165600609,0.841031027005476,15.56812,8
8,888922425410,18.9391633518824,0.695887260849446,16.87463,7
9,888726753899,18.7496163977895,0.351461371940953,17.3058491,7
10,888347745387,329.512325185195,-7.83106179487327,17.0492802,8
11,888105467943,329.113339675241,-7.85191701191508,17.0074806,7
12,888347680035,329.414129788145,-7.85460110385671,15.6934404,7
13,888526500456,329.477275419959,-8.02184328414562,16.4524403,7
14,888752654346,10.5440397760198,-9.76951598084916,16.6570492,8
15,888826396175,10.5006988588217,-9.07783825455563,16.0233994,8
16,888993231374,10.2622547416668,-9.68131456303631,16.0715809,8
17,888530233487,10.6652669767335,-9.21039487069522,16.9637604,8
18,888530233491,10.6895216091201,-9.31339758225104,16.7842293,7
19,999388000026,337.03479,-30.637991,15.6992893,8
20,999388000092,336.9859924,-30.4066048,14.863637,7
21,999388000109,336.9439087,-30.7615891,17.1793976,8
22,999388000130,337.024292,-30.7754955,16.3653908,7
23,999388000180,336.7589722,-30.7121639,16.4434605,7
24,999388000182,337.1747131,-30.7347469,16.4458733,7
25,999388000202,337.2316895,-30.4620724,16.4772415,7
26,999388000261,336.7752686,-30.3591614,15.9974575,8
27,999388000262,337.2045898,-30.3787708,17.1764565,8
28,999388000278,337.0412903,-30.8560925,16.4747849,8
29,999388000323,336.6255493,-30.6234322,13.7994061,8
30,999388000378,336.8243408,-30.8808727,14.3716793,8
31,999388000402,336.9378967,-30.2349072,15.5309343,7
32,999388000454,336.8470764,-30.2264004,14.9592619,8
33,999388000497,337.2548218,-30.2807884,16.985651,7
34,999388000531,336.5224915,-30.6092873,15.3552532,7
35,999388000550,336.5606079,-30.751276,17.0045853,7
36,999388000568,337.153656,-30.1999092,13.9724426,8
37,999388000576,336.5040283,-30.5795612,17.1748619,8
38,999388000603,337.3286438,-30.8617611,17.1213875,8
39,999388000639,337.2320557,-30.9419308,17.0447445,7
40,999388000647,337.2867126,-30.2391186,16.8424854,8
41,999388000730,336.6724854,-30.2001209,14.3797321,7
42,999388000737,337.5007629,-30.6672516,15.6116266,8
43,999388000792,337.509613,-30.4603348,16.7269535,7
44,999388000806,336.7729492,-31.0173569,14.2873678,7
45,999388000858,337.2824097,-30.9872723,16.460907,8
46,999388000890,336.9356384,-30.0791893,13.4526291,7
47,999388000894,337.2945251,-30.1591301,15.6963434,7
48,999403800104,357.0114441,-27.9389439,17.1879845,7
49,999403800109,356.7186584,-27.9723091,17.2256546,7
50,999403800211,357.0198669,-28.4021091,16.4161339,7
51,999403800283,357.2786865,-28.0630264,15.8764124,8
52,999403800399,357.0930786,-28.4965782,17.1248283,7
53,999403800429,356.4335938,-28.0012016,17.1140022,7
54,999403800433,357.3247375,-28.3262386,17.0072956,7
55,999403800488,357.4042969,-28.2058563,16.0864716,7
56,999403800527,357.4317322,-28.0688267,16.2488995,7
57,999403800562,357.3938904,-28.3495388,16.7793274,7
58,999403800582,356.719696,-27.6492271,17.1339664,7
59,999403800590,356.3930054,-27.8832111,15.3396845,7
60,999403800596,357.4685974,-28.1657333,16.7725754,8
61,999403800638,356.7889709,-28.6361141,16.7972431,7
62,999403800642,356.3344421,-27.9588776,16.8144951,8
63,999403800643,356.3832092,-27.8621979,15.525032,7
64,999403800652,356.4900208,-28.5121517,15.9024,7
65,999403800795,357.4875488,-28.3797245,17.0112305,8
66,999403800888,357.1309509,-28.7040462,15.1040697,7
67,999403800995,357.2720337,-28.6796799,17.182991,8
68,999403801023,356.5274353,-28.6948261,16.3599625,7
69,999403801066,357.3166504,-28.6828213,15.8946066,8
70,999403801099,357.2803345,-28.7124538,15.7435322,7
71,999403801118,357.4910889,-28.5634708,17.0245724,7
72,999403801169,357.6870117,-28.1293755,17.1200428,8
73,999403801191,357.3049011,-28.7269135,16.9496078,7
74,999403801274,357.1968994,-28.7983246,14.6821165,8
75,999403801312,357.7235413,-28.0516968,15.9900274,7
76,999403801334,357.7297363,-28.2162762,17.1001034,8
77,999403801351,357.2066345,-28.817728,15.5909452,7
78,999403801380,357.1580811,-28.8396969,16.175087,8
79,999403801461,357.6846619,-27.7894821,17.0882759,7
80,999403801489,357.5719604,-28.6309109,16.2335262,8
81,999403801581,356.861908,-28.9283085,14.6339636,7
82,999403801583,357.5971985,-27.6127529,16.9087448,7
83,999403801719,357.8379211,-28.2272854,15.09515,8
84,999403801737,357.7311096,-28.533062,17.1290474,7
85,999403801788,356.2859497,-28.7861004,15.5467548,7
86,999403801877,357.8569946,-27.936142,16.3344402,7
87,999403801879,356.7996216,-28.9905491,16.0491638,7
88,999403801883,357.845459,-28.3658638,17.0789547,7
89,999403801936,357.2953796,-28.9376316,15.3674889,8
90,999403801991,356.489563,-28.9496498,16.7774353,7
91,999403802006,356.9451599,-29.0262432,17.1421928,7
92,999403802095,357.1965942,-29.0043259,16.014595,7
93,999403802098,357.7151489,-28.6957417,17.2079506,7
94,999044200003,6.423171,-33.0122528,16.4062214,7
95,999044200049,6.5469632,-32.9840736,15.9335499,7
96,999044200074,6.4874969,-32.870224,16.1026688,7
97,999044200084,6.2392545,-32.8781776,17.0105648,8
98,999044200094,6.5288892,-32.8733292,16.1853695,8
99,999044200119,6.1824455,-32.8716927,16.7952652,8
100,999044200131,6.6195359,-32.8907738,17.0263901,7
101,999044200160,6.5817103,-32.8314323,14.4463844,7
102,999044200199,6.4704103,-32.759037,16.973032,7
103,999044200246,6.0227995,-32.9273033,16.7689762,8
104,999044200297,6.4996252,-32.6995087,16.8805065,8
105,999044200303,6.6418619,-32.7563477,16.1714764,8
106,999044200320,6.751121,-32.839138,17.2140541,8
107,999044200338,6.4200225,-32.6653671,16.3776836,8
108,999044200388,6.2148037,-32.6526871,16.6644573,7
109,999044200410,6.1446719,-32.6675453,16.9192562,8
110,999044200453,5.9488921,-32.7876854,16.6173725,7
111,999044200512,6.3756495,-32.5719109,14.8498735,7
112,999044200522,6.733582,-32.6662598,16.1413574,7
113,999044200535,5.8147025,-32.9217873,16.9469013,8
114,999044200537,6.0191803,-32.659214,15.0075378,7
115,999044200605,6.8490582,-32.7026176,15.1689911,7
116,999044200765,7.0386753,-32.8834267,17.22892,7
117,999044200770,6.6067104,-32.4982643,15.2532301,7
118,999044200775,6.7709365,-32.5651817,17.0918522,7
119,999044200830,5.7980738,-32.6937523,15.8791037,8
120,999044200887,7.1181297,-32.9699554,15.2978964,8
121,999044200896,5.6970334,-32.7948227,16.8929691,7
122,999044200999,6.4645486,-32.3900833,17.1653385,8
123,999044201037,7.0870366,-32.7207184,16.2507324,8
124,999044201047,6.3497891,-32.366478,17.0180302,7
125,999044201055,6.266923,-32.3697891,16.5100422,7
126,999044201162,6.8829103,-32.4718246,16.5297832,7
127,999044201259,6.7049785,-32.3493652,15.6384878,7
128,999091700001,355.3940735,-29.2190399,16.3626366,7
129,999091700016,355.4709473,-29.270525,17.1006565,7
130,999091700022,355.473999,-29.2830486,15.6917324,7
131,999091700082,355.5869141,-29.1524105,16.0948925,7
132,999091700134,355.1461182,-29.1669121,15.7389984,8
133,999091700167,355.101532,-29.2444992,16.5678997,7
134,999091700173,355.0979614,-29.2011986,16.860424,7
135,999091700187,355.6782532,-29.1241035,17.144556,8
136,999091700198,355.23349,-28.9947395,16.6041183,7
137,999091700201,355.5287476,-28.975441,16.8183689,8
138,999091700207,355.1185303,-29.0803623,15.9179058,7
139,999091700209,355.0675659,-29.2047787,16.9472351,7
140,999091700244,355.4715881,-29.5438557,17.1423054,8
141,999091700257,355.0643005,-29.09692,16.8541775,7
142,999091700260,355.6177063,-29.4984665,17.2105598,7
143,999091700267,355.5979309,-28.9611359,17.0028763,8
144,999091700282,355.6507263,-29.4853344,16.6014233,7
145,999091700291,355.0149841,-29.2871132,14.4142227,7
146,999091700329,355.6980286,-29.4798164,15.6426125,7
147,999091700333,355.7908325,-29.3412724,16.1506424,8
148,999091700345,355.5966187,-28.9159775,16.7166157,7
149,999091700355,354.9915771,-29.3376656,15.8581409,7
150,999091700369,355.4689941,-29.6072884,16.0488586,7
151,999091700397,355.5227966,-29.607151,17.0951309,8
152,999091700416,355.2979736,-29.6223755,16.6922073,8
153,999091700431,355.5473022,-29.6150703,15.052166,7
154,999091700446,355.5318909,-29.6259212,16.4830799,8
155,999091700471,354.9317017,-29.1465645,15.5083084,7
156,999091700480,354.9417114,-29.3737164,17.0710316,7
157,999091700543,355.7971191,-28.9607735,16.5290756,7
158,999091700561,355.1111145,-29.6126804,16.5155125,7
159,999091700836,355.8211365,-29.6556358,14.1942596,8
160,999091700913,356.0706482,-29.2218266,15.3097229,7
161,999091700916,355.6243591,-28.6831951,17.1133156,8
162,999091700925,356.0436707,-29.0637245,15.1658201,7
163,999091701052,355.8713684,-29.7096691,16.4915142,7
164,999091701054,355.1058655,-29.8114185,17.2365265,7
165,999091701085,355.8664246,-29.7271519,16.2696056,7
166,999091701145,355.3151855,-28.5813847,15.7696152,7
167,999091701159,356.1471863,-29.1351471,16.8870506,7
