,catid,surfacedensity,surfacedensity_err,completenesscorrection,areacorrection,surfacedensityflag,surfacedensity_m19,surfacedensity_err_m19,completenesscorrection_m19,areacorrection_m19,surfacedensityflag_m19
0,40873,0.067,0.0129,1.0,1.0,0,0.067,0.0129,1.0,1.0,0
1,48805,0.567,0.093,1.0,1.0,0,0.567,0.093,1.0,1.0,0
2,196977,0.132,0.0262,1.0,1.0,0,0.131,0.0285,1.0,1.0,0
3,215293,0.415,0.2171,1.0666667,1.0,0,0.286,0.0437,1.0666667,1.0,0
4,323508,1.927,1.4706,1.0,1.0,0,0.381,1.1612,1.0,1.0,0
5,387080,0.18,0.0314,1.0344471,1.0013218,1,0.176,0.0312,1.0344471,1.0027936,1
6,396895,nan,nan,nan,nan,9,0.01,0.0041,1.0526316,1.6311413,1
7,417511,2.19,nan,1.0,1.0,4,2.19,nan,1.0,1.0,4
8,535668,0.131,0.0176,1.0,1.0,0,0.131,0.0176,1.0,1.0,0
9,622395,1.118,0.2142,1.0,1.0,0,0.632,0.106,1.0,1.0,0
10,622487,nan,nan,nan,nan,9,2.346,0.5733,1.1176931,1.0,0
11,623609,0.721,0.6507,1.0,1.0,0,0.663,0.0868,1.0,1.0,0
12,726781,0.422,0.3403,1.0,1.0,0,0.422,0.3403,1.0,1.0,0
13,548821,nan,nan,nan,nan,9,0.022,0.024,1.0,1.4813436,1
14,91473,0.781,0.1534,1.0,1.0,0,0.719,0.0944,1.0,1.002014,1
15,760733,0.183,0.1185,1.0,1.0,0,0.15,0.0033,1.0,1.0,0
16,177326,20.157,2.486,1.0666667,1.0,0,13.303,2.6461,1.0666667,1.0,0
17,491956,0.482,0.68,1.0,1.0595399,1,0.42,0.0834,1.0,1.0894454,1
18,8036,0.006,0.0018,1.0,1.2652785,1,0.01,0.0026,1.0,1.1403302,1
19,271535,0.671,0.0803,1.0,1.0,0,0.671,0.0803,1.0,1.0,0
20,619553,0.584,0.1131,1.0,1.0,0,0.402,0.0661,1.0,1.0,0
21,319019,16.101,85.8061,1.0666667,1.0,0,2.018,99.0092,1.0666667,1.0,0
22,513065,0.729,0.0641,1.0624734,1.0,0,0.297,0.2201,1.0624734,1.0470811,1
23,346376,nan,nan,-1.0,1.0,8,nan,nan,-1.0,1.0,8
24,143148,0.289,0.0689,1.0,1.6479443,1,0.183,0.0478,1.0,1.7131917,1
25,136524,0.238,0.0454,1.0,1.0,0,0.238,0.0454,1.0,1.0,0
26,513001,1.409,0.2202,1.0370218,1.0,0,1.409,0.2202,1.0370218,1.0,0
27,417678,0.236,0.0359,1.0,1.0920006,1,0.207,0.0343,1.0,1.1225759,1
28,957641,0.023,0.0046,1.0,1.137993,1,0.023,0.0046,1.0,1.137993,1
29,346567,0.101,0.0195,1.0,1.057741,1,0.101,0.0196,1.0,1.0590177,1
30,623790,0.158,0.0106,1.0,1.0,0,0.158,0.0106,1.0,1.0,0
31,272328,0.22,0.005,1.0,1.0081114,1,0.22,0.005,1.0,1.0081114,1
32,508937,3.043,0.485,1.0714668,1.0,0,3.043,0.485,1.0714668,1.0,0
33,561641,0.083,0.0482,1.0588733,1.0511687,1,0.061,0.0112,1.0588733,1.1218771,1
34,38992,2.62,0.9876,1.0,1.0,0,0.771,0.3373,1.0,1.0186608,1
35,299032,0.33,0.0659,1.0,1.1595657,1,0.33,0.0659,1.0,1.1595657,1
36,227753,0.153,0.0295,1.0370218,1.4051898,1,0.153,0.0295,1.0370218,1.4051876,1
37,39132,0.408,0.0587,1.0435146,1.0,0,0.408,0.0619,1.0435146,1.0,0
38,63237,2.255,0.4171,1.0,1.0,0,2.255,0.4171,1.0,1.0,0
39,375934,0.446,0.065,1.0,1.0,0,0.446,0.065,1.0,1.0,0
40,573736,2.697,0.5172,1.0,1.0,0,2.697,0.5172,1.0,1.0,0
41,365324,0.103,0.0873,1.0475593,1.1626939,1,0.103,0.0873,1.0475593,1.1626939,1
42,137072,0.134,nan,1.0,1.0,4,0.134,nan,1.0,1.0,4
43,324753,0.107,0.0065,1.1332729,1.0611695,1,0.095,0.0294,1.1332729,1.0864081,1
44,372727,0.329,0.0555,1.0,1.0,0,0.329,0.0555,1.0,1.0,0
45,388506,1.538,0.2642,1.1538018,1.0,0,1.538,0.2642,1.1538018,1.0,0
46,302973,0.533,0.1478,1.0,1.0,0,0.321,0.1054,1.0,1.046474,1
47,48740,0.333,17.3908,1.1332729,1.0,0,0.333,17.3908,1.1332729,1.0,0
48,347263,0.089,0.0131,1.1176931,1.497122,1,0.089,0.0131,1.1176931,1.497122,1
49,485740,0.104,0.019,1.0714668,1.3985444,1,0.104,0.019,1.0714668,1.3985444,1
50,567983,0.682,0.2722,1.1111112,1.0,0,0.682,0.2722,1.1111112,1.0,0
51,296583,0.164,0.0384,1.0,1.0,0,0.104,0.0527,1.0,1.0078669,1
52,32295,0.127,0.018,1.0714668,1.0,0,0.122,0.021,1.0714668,1.0,0
53,23669,3.569,0.7475,1.0,1.0,0,2.705,0.5251,1.0,1.0,0
54,386515,1.276,nan,1.0,1.0,4,1.276,nan,1.0,1.0,4
55,594964,10.468,2.4788,1.0,1.0,0,10.468,2.4788,1.0,1.0,0
56,377669,4.204,33.1917,1.049979,1.0,0,4.204,33.1917,1.049979,1.0,0
57,491743,0.465,nan,1.0370218,1.0,4,0.465,nan,1.0370218,1.0,4
58,239249,0.792,0.1543,1.0,1.0,0,0.767,0.1334,1.0,1.0,0
59,595027,7.564,3.3391,1.0,1.0,0,7.564,3.3391,1.0,1.0,0
60,250047,0.067,0.1088,1.0,1.0,0,0.067,0.1088,1.0,1.0,0
61,230270,0.457,0.1684,1.0555204,1.4332223,1,0.457,0.1684,1.0555204,1.4332223,1
62,382630,0.848,0.1029,1.0,1.0,0,0.848,0.1029,1.0,1.0,0
63,570141,0.894,0.2985,1.0,1.0,0,0.3,0.0976,1.0,1.0,0
64,208578,0.704,0.1393,1.0,1.0,0,0.703,0.1396,1.0,1.0,0
