,cubeid,cubeidpub,cubename,catid,pa_stelkin,pa_stelkin_err,sigma_re,sigma_re_err,sigma_3kpc_round,sigma_3kpc_round_err,sigma_1_4_arcsecond,sigma_1_4_arcsecond_err,sigma_2_arcsecond,sigma_2_arcsecond_err,sigma_3_arcsecond,sigma_3_arcsecond_err,sigma_4_arcsecond,sigma_4_arcsecond_err,aper_corr_flag,rmax_aper_corr,lambdar_re,lambdar_re_err,lambdar_max,lambdar_max_err,vsigma_re,vsigma_re_err,vsigma_max,vsigma_max_err,mean_k51_re,mean_k51_re_err,sigma_re_mge,sigma_re_mge_err,aper_corr_flag_mge,rmax_aper_corr_mge,lambdar_re_mge,lambdar_re_mge_err,lambdar_max_mge,lambdar_max_mge_err,vsigma_re_mge,vsigma_re_mge_err,vsigma_max_mge,vsigma_max_mge_err,mean_k51_re_mge,mean_k51_re_mge_err
0,6821_blue_red_7_Y18SAR4_P001_12T126_2018_05_07-2018_05_16,6821_A,6821_blue_7_Y18SAR4_P001_12T126_2018_05_07-2018_05_16.fits,6821,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1,6837_blue_red_7_Y18SAR4_P001_12T126_2018_05_07-2018_05_16,6837_A,6837_blue_7_Y18SAR4_P001_12T126_2018_05_07-2018_05_16.fits,6837,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2,7139_blue_red_7_Y18SAR3_P002_12T122_2018_05_07-2018_05_16,7139_A,7139_blue_7_Y18SAR3_P002_12T122_2018_05_07-2018_05_16.fits,7139,267.5,1.5,235.61281,3.0147629,232.86076,2.6190042,227.91887,3.23779,232.86076,2.538515,227.91617,2.3636317,228.24727,2.4224946,0.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,235.61281,3.229881,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3,7206_blue_red_7_Y18SAR3_P002_12T122_2018_05_07-2018_05_16,7206_A,7206_blue_7_Y18SAR3_P002_12T122_2018_05_07-2018_05_16.fits,7206,277.0,1.4166666,106.10177,2.0713446,96.782265,2.1074984,97.54793,3.4475977,96.782265,2.5408862,97.520065,1.9334364,101.20757,1.9094087,0.0,1.0,0.54937583,0.014705206,nan,nan,0.69269425,0.022780344,nan,nan,0.034964137,0.008393184,104.364845,1.8333597,0.0,1.0,0.5397518,0.014969519,nan,nan,0.67574376,0.023065692,nan,nan,0.034964137,0.008393184
4,7289_blue_red_7_Y18SAR3_P002_12T122_2018_05_07-2018_05_16,7289_A,7289_blue_7_Y18SAR3_P002_12T122_2018_05_07-2018_05_16.fits,7289,84.5,12.75,205.14528,1.8772924,228.24532,2.3793814,227.96672,2.4607205,228.24532,2.5035534,224.60478,1.9799101,218.58223,2.003036,0.0,1.0,0.07193211,0.0075797155,nan,nan,0.0797666,0.0072175167,nan,nan,0.23975329,0.072991356,212.49521,1.5672057,0.0,1.0,0.05596431,0.0069313175,nan,nan,0.06152828,0.006164173,nan,nan,0.23975329,0.072991356
5,7715_blue_red_7_Y14SAR4_P002_12T064_2014_05_23-2014_06_01,7715_A,7715_blue_7_Y14SAR4_P002_12T064_2014_05_23-2014_06_01.fits,7715,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
6,7839_blue_red_7_Y16SAR4_P002_12T101_2017_04_19-2017_05_01,7839_A,7839_blue_7_Y16SAR4_P002_12T101_2017_04_19-2017_05_01.fits,7839,49.5,1.25,195.76112,1.6140423,223.14139,1.5195676,232.88278,2.4152997,232.89111,2.2225654,223.14139,1.5342572,218.3499,1.3276602,0.0,1.0,0.32422054,0.004915802,nan,nan,0.32087862,0.0043023285,nan,nan,0.021447787,0.006136946,204.76128,1.5008167,0.0,1.0,0.30171224,0.0045705456,nan,nan,0.29396695,0.004307293,nan,nan,0.021447787,0.006136946
7,7841_blue_red_7_Y14SAR4_P002_12T064_2014_05_23-2014_06_01,7841_A,7841_blue_7_Y14SAR4_P002_12T064_2014_05_23-2014_06_01.fits,7841,152.0,0.5,178.64688,1.3856909,163.95634,1.4379294,164.38644,1.8259789,163.95634,1.2935094,164.26176,1.3325193,166.75992,1.1574533,0.0,1.0,0.5276075,0.005763804,nan,nan,0.6677948,0.008809911,nan,nan,0.018353065,0.0034451983,170.47298,1.3643739,0.0,1.0,0.54197115,0.005148543,nan,nan,0.67925894,0.007822743,nan,nan,0.018353065,0.0034451983
8,7946_blue_red_7_Y16SAR4_P002_12T101_2017_04_19-2017_05_01,7946_A,7946_blue_7_Y16SAR4_P002_12T101_2017_04_19-2017_05_01.fits,7946,240.0,0.8333333,177.09967,1.905963,176.82243,3.0034182,176.82243,2.7990422,178.00117,2.1596947,177.91025,1.8146595,176.05586,1.9567579,0.0,1.0,0.4208697,0.0085366815,nan,nan,0.47177184,0.010355506,nan,nan,0.027623381,0.008272254,176.48134,1.8079492,0.0,1.0,0.37809503,0.0087079555,nan,nan,0.42175353,0.010101035,nan,nan,0.027623381,0.008272254
9,7969_blue_red_7_Y16SAR4_P002_12T101_2017_04_19-2017_05_01,7969_A,7969_blue_7_Y16SAR4_P002_12T101_2017_04_19-2017_05_01.fits,7969,117.5,11.166667,249.79765,2.4518452,258.8951,2.2880316,267.4869,3.1991794,258.8951,2.2900918,258.03995,2.0631237,255.9217,1.9588563,1.0,0.9281981,0.07408679,0.007457648,0.070236586,0.007457648,0.08016793,0.0068837274,0.076434724,0.0068837274,0.58738834,0.29351422,253.85786,1.9050815,0.0,1.0,0.044866167,0.00666484,nan,nan,0.05206474,0.005835871,nan,nan,0.58738834,0.29351422
10,7992_blue_red_7_Y16SAR4_P002_12T101_2017_04_19-2017_05_01,7992_A,7992_blue_7_Y16SAR4_P002_12T101_2017_04_19-2017_05_01.fits,7992,24.5,4.1666665,230.09796,1.9353241,236.2842,2.2942445,246.55412,3.126101,236.2842,2.444281,232.45067,2.183163,234.41197,2.0592194,0.0,1.0,0.12314851,0.0069863037,nan,nan,0.13203153,0.00648072,nan,nan,0.05896837,0.030699354,231.40596,1.9082525,0.0,1.0,0.09856497,0.0070434855,nan,nan,0.10655644,0.0065721,nan,nan,0.05896837,0.030699354
11,8319_blue_red_7_Y17SAR3_P002_12T103_2018_02_12-2018_02_19,8319_A,8319_blue_7_Y17SAR3_P002_12T103_2018_02_12-2018_02_19.fits,8319,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
12,8353_blue_red_7_Y14SAR1_P005_12T045_2015_02_16-2015_02_25,8353_A,8353_blue_7_Y14SAR1_P005_12T045_2015_02_16-2015_02_25.fits,8353,327.5,6.3333335,71.54206,2.9498384,73.77993,2.6297455,43.024914,6.0470557,56.696404,4.8208637,58.128376,3.4509366,59.465485,2.8770432,0.0,1.0,0.2629751,0.02172825,nan,nan,0.30679783,0.024843074,nan,nan,0.1519749,0.035702825,73.0048,3.4779878,0.0,1.0,0.29373473,0.020086436,nan,nan,0.33564425,0.02261445,nan,nan,0.1519749,0.035702825
